epsilon_h,epsilon_min,gamma,poatt_fix_aw,poatt_dyn_aw,poatt_dyn_peak,tia,mean_trust_pre,min_trust_attack,trust_drop,trust_recovery_days,tstt_recovery_days,hidden_window_days
0.05,3.0,0.1,1.012638147051911,1.012359423198591,1.0150857849929413,0.022054170771640513,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,0.0,0.0
0.05,3.0,0.3,1.061816559632058,1.016735734644232,1.0589912450046628,0.7292677764041571,0.9413204501255537,0.22802736205873056,0.7132930880668231,54.0,0.0,54.0
0.05,3.0,0.5,1.1590622226777172,1.0154085920730962,1.088287492732834,0.9031285253424617,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.05,3.0,0.7,1.3155096173209297,1.0283471605717318,1.2152614929130667,0.9101543692631795,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.05,3.0,0.9,1.5254326868547519,1.0449246014383131,1.4064624860291954,0.9144997969059891,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.05,3.0,1.0,1.6533822459203786,1.0558935983011895,1.5413497626817814,0.914454978459882,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.1,6.0,0.1,1.012638147051911,1.012359423198591,1.0150857849929413,0.022054170771640513,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,0.0,0.0
0.1,6.0,0.3,1.061816559632058,1.0604247774038345,1.0688562657795575,0.022514715094265392,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,1.0,-1.0
0.1,6.0,0.5,1.1590622226777172,1.0488325766492772,1.181630272383335,0.6929970182284011,0.9413204501255537,0.3050689708970655,0.6362514792284881,42.0,0.0,42.0
0.1,6.0,0.7,1.3155096173209297,1.0283471605717318,1.2152614929130667,0.9101543692631795,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.1,6.0,0.9,1.5254326868547519,1.0449246014383131,1.4064624860291954,0.9144997969059891,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.1,6.0,1.0,1.6533822459203786,1.0558935983011895,1.5413497626817814,0.914454978459882,0.9413204501255537,0.019794718993691413,0.9215257311318622,72.0,0.0,72.0
0.15,9.0,0.1,1.012638147051911,1.012359423198591,1.0150857849929413,0.022054170771640513,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,0.0,0.0
0.15,9.0,0.3,1.061816559632058,1.0604247774038345,1.0688562657795575,0.022514715094265392,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,1.0,-1.0
0.15,9.0,0.5,1.1590622226777172,1.1549240366245503,1.181630272383335,0.026016146282272223,0.9413204501255537,0.9630331292413837,-0.02171267911583008,0.0,3.0,-3.0
0.15,9.0,0.7,1.3155096173209297,1.080013243326466,1.3673088813876562,0.7463999861371002,0.9413204501255537,0.275606128019314,0.6657143221062396,41.0,1.0,40.0
0.15,9.0,0.9,1.5254326868547519,1.0656770935487347,1.6726937216626672,0.8750037917475617,0.9413204501255537,0.08382473387867913,0.8574957162468745,66.0,0.0,66.0
0.15,9.0,1.0,1.6533822459203786,1.076142844111544,1.8872191644890912,0.88346355508285,0.9413204501255537,0.020778871135639563,0.9205415789899141,72.0,0.0,72.0
